,Pred,,Freq,Result,Pearson,
0,1.117,0,0.0,-1.117,-1.05688220724923,
1,0.4849,1,0.0,-0.4849,-0.696347614342147,
2,0.4946,2,2.0,1.5054,2.14054743178548,
3,0.679,3,1.0,0.321,0.389556221967558,
4,0.5386,4,1.0,0.4614,0.628701382923335,
5,0.5967,5,0.0,-0.5967,-0.772463591375024,
6,0.5522,6,0.0,-0.5522,-0.743101608126372,
7,1.183,7,2.272727272727270,1.08972727272727,1.00190247133506,
8,0.486,8,0.0,-0.486,-0.697137002317335,
9,0.7173,9,0.0,-0.7173,-0.846935652809586,
10,1.227,10,0.0,-1.227,-1.10770032048384,
11,0.5127,11,0.0,-0.5127,-0.716030725597722,
12,1.223,12,6.451612903225810,5.22861290322581,4.72795421036998,
13,1.201,13,1.0,-0.201,-0.183410651573841,
14,0.727,14,0.0,-0.727,-0.852642949891688,
15,0.986,15,0.0,-0.986,-0.992975326984513,
16,0.4849,16,0.0,-0.4849,-0.696347614342147,
17,0.8286,17,0.0,-0.8286,-0.910274683818022,
18,0.4722,18,0.0,-0.4722,-0.687168101704379,
19,1.202,19,0.0,-1.202,-1.09635760589326,
20,0.749,20,0.0,-0.749,-0.865447860936752,
21,0.5283,21,0.0,-0.5283,-0.726842486375143,
22,1.199,22,3.0,1.801,1.64476600544796,
23,1.204,23,1.0,-0.204,-0.185916067227005,
24,4.082,24,3.0,-1.082,-0.535538577376918,
25,0.908,25,1.0,0.092,0.0965483604370561,
26,0.624,26,4.0,3.376,4.27376012909307,
27,1.223,27,1.0,-0.223,-0.201646939336823,
28,1.056,28,0.0,-1.056,-1.02761860629321,
29,1.152,29,0.0,-1.152,-1.0733126291999,
30,0.609,30,1.0,0.391,0.501035053459082,
31,1.13,31,0.0,-1.13,-1.06301458127347,
32,1.227,32,1.0,-0.227,-0.204929073145747,
33,1.196,33,1.0,-0.196,-0.179221654210066,
34,0.4917,34,0.0,-0.4917,-0.701213234330328,
35,1.04,35,1.0,-0.04,-0.0392232270276368,
36,0.7285,36,0.0,-0.7285,-0.853522114534826,
37,2.041,37,3.0,0.959,0.671269793538921,
38,0.6064,38,1.0,0.3936,0.505446848986514,
39,1.243,39,1.0,-0.243,-0.217956943647112,
40,1.219,40,1.0,-0.219,-0.198354593364453,
41,0.749,41,0.0,-0.749,-0.865447860936752,
42,0.7354,42,1.0,0.2646,0.308551759348249,
43,0.7534,43,1.0,0.2466,0.284105907560738,
44,1.063,44,0.0,-1.063,-1.03101891350256,
45,2.049,45,2.0,-0.049,-0.0342314346415448,
46,1.22,46,1.0,-0.22,-0.199178641293541,
47,0.5117,47,0.0,-0.5117,-0.715332090710322,
48,0.544,48,0.0,-0.544,-0.737563556583431,
