,Activation Function,nLayer,nHiddenNeuron,nIteration,Best Loss,RMSE,Relative Error,Pearson Corr,Elapsed Time
0,identity,1,1,88,8.900623,4.218883,1.134035,0.091544,0.814311
1,identity,1,2,72,8.900597,4.218873,1.13401,0.091566,0.715738
2,identity,1,3,44,8.901797,4.219123,1.152582,0.091666,0.509391
3,identity,1,4,48,8.902077,4.218934,1.143649,0.091649,0.515551
4,identity,1,5,57,8.901587,4.218977,1.146059,0.091661,0.613553
5,identity,2,1,74,8.900372,4.218844,1.137442,0.091685,0.913394
6,identity,2,2,55,8.901716,4.218979,1.14006,0.091382,0.764664
7,identity,2,3,46,8.902012,4.218923,1.122467,0.091582,0.710629
8,identity,2,4,35,8.903625,4.218939,1.122146,0.091565,0.54554
9,identity,2,5,37,8.902688,4.218839,1.131024,0.091637,0.554941
10,identity,3,1,86,8.900606,4.218968,1.144662,0.091607,1.278171
11,identity,3,2,42,8.903959,4.219091,1.116492,0.091464,0.718612
12,identity,3,3,51,8.902374,4.218858,1.131274,0.091598,0.884391
13,identity,3,4,29,8.903392,4.219075,1.12264,0.091207,0.548288
14,identity,3,5,34,8.90274,4.218857,1.130313,0.091593,0.635074
15,identity,4,1,72,8.901447,4.219014,1.139176,0.091283,1.288695
16,identity,4,2,48,8.902666,4.219635,1.166583,0.091627,0.967272
17,identity,4,3,35,8.90205,4.218872,1.139185,0.091679,0.792542
18,identity,4,4,57,8.90284,4.218861,1.136564,0.091632,1.145093
19,identity,4,5,29,8.905122,4.218992,1.122094,0.091526,0.672682
20,identity,5,1,75,8.900671,4.218854,1.132147,0.091641,1.536647
21,identity,5,2,52,8.904255,4.219182,1.110954,0.091617,1.146962
22,identity,5,3,60,8.903386,4.218999,1.146533,0.091636,1.407141
23,identity,5,4,77,8.9021,4.21883,1.135184,0.091682,1.730843
24,identity,5,5,26,8.904099,4.218964,1.136639,0.091469,0.690886
25,identity,6,1,77,8.900898,4.218867,1.124332,0.091654,1.818183
26,identity,6,2,41,8.906015,4.219378,1.151003,0.090948,1.097096
27,identity,6,3,49,8.903425,4.219659,1.101605,0.091571,1.320144
28,identity,6,4,40,8.90338,4.218891,1.130902,0.091595,1.078696
29,identity,6,5,42,8.904428,4.219424,1.160558,0.091587,1.184107
30,identity,7,1,94,8.90119,4.219037,1.124289,0.091269,2.4343
31,identity,7,2,42,8.906611,4.21966,1.099501,0.091658,1.206096
32,identity,7,3,40,8.903756,4.22043,1.08973,0.091402,1.228554
33,identity,7,4,38,8.905266,4.219039,1.130551,0.091291,1.131332
34,identity,7,5,34,8.90833,4.218899,1.125408,0.091549,1.115265
35,identity,8,1,74,8.903147,4.219089,1.132967,0.090994,2.127139
36,identity,8,2,31,8.90243,4.219032,1.146471,0.091557,0.986406
37,identity,8,3,49,8.902249,4.219732,1.16466,0.091548,1.593651
38,identity,8,4,51,8.904696,4.218855,1.132339,0.091626,1.659251
39,identity,8,5,37,8.904038,4.218887,1.123534,0.091633,1.288491
40,identity,9,1,91,8.901731,4.21899,1.129294,0.091343,2.829342
41,identity,9,2,46,8.904022,4.219395,1.105338,0.091611,1.588372
42,identity,9,3,41,8.906899,4.219026,1.124832,0.091462,1.514615
43,identity,9,4,46,8.904033,4.219428,1.1369,0.0916,1.633794
44,identity,9,5,32,8.906998,4.219041,1.139684,0.091434,1.250794
45,identity,10,1,84,8.901825,4.219072,1.14039,0.091212,2.874273
46,identity,10,2,41,8.902867,4.218973,1.133689,0.091624,1.54511
47,identity,10,3,41,8.906596,4.219428,1.156946,0.091486,1.642312
48,identity,10,4,63,8.902799,4.219143,1.149203,0.091663,2.399242
49,identity,10,5,21,8.904429,4.221254,1.080883,0.091433,0.946819
50,tanh,1,1,133,8.902775,4.219276,1.126045,0.090579,1.226859
