CASE_SEQUENCE,WARD,CREATION_MONTH,N_POTHOLES_FILLED_ON_BLOCK,N_DAYS_FOR_COMPLETION,LATITUDE,LONGITUDE
1,1,12,3.584962501,1,41.92830718,-87.68197137
2,18,12,4.087462841,1,41.76336674,-87.70018975
3,18,12,5.321928095,1,41.76250271,-87.70046003
4,5,12,5.209453366,1,41.79508988,-87.58635917
5,45,12,1,0,41.94920778,-87.72809124
6,18,12,0,0,41.75030847,-87.67564359
7,5,12,2.584962501,0,41.79317453,-87.59664483
8,5,12,3.584962501,0,41.79152143,-87.59950057
9,41,12,1,0,41.98128122,-87.79388842
10,5,12,2.807354922,0,41.79531041,-87.58917028
11,5,12,3,0,41.79946866,-87.58923619
12,4,12,4,0,41.80232895,-87.59361965
13,4,12,4.584962501,0,41.80087234,-87.59358152
14,4,12,0,0,41.80234813,-87.59199819
15,4,12,2.584962501,0,41.80093311,-87.5892302
16,5,12,2.807354922,0,41.79155728,-87.59637808
17,5,12,3,0,41.79529493,-87.58752503
18,4,12,2.321928095,0,41.79852173,-87.59359687
19,27,12,4.700439718,0,41.90160033,-87.66178813
20,1,12,1,1.584962501,41.91749661,-87.68871961
21,28,12,0,1.584962501,41.85214078,-87.68591354
22,17,12,3.906890596,0,41.7592412,-87.67324364
23,17,12,3.321928095,0,41.76839817,-87.67347689
24,17,12,2.807354922,0,41.77021683,-87.67351973
25,16,12,4.321928095,0,41.77203127,-87.67356627
26,16,12,1,0,41.79938021,-87.66730697
27,36,12,2.321928095,0,41.94300716,-87.76851845
28,38,12,3.906890596,0,41.95125682,-87.77656192
29,38,12,3,0,41.95027092,-87.77652878
30,45,12,1.584962501,0,41.94920467,-87.72839004
31,7,12,5,0,41.74075078,-87.56500052
32,38,12,3.321928095,0,41.96058502,-87.76246437
33,7,12,1,0,41.74643277,-87.56290551
34,7,12,2.321928095,0,41.74626281,-87.55917374
35,7,12,3.169925001,0,41.74980852,-87.55877622
36,24,12,1.584962501,0,41.85436479,-87.69046703
37,21,12,3.906890596,1.584962501,41.74292969,-87.66704181
38,12,12,5.672425342,0,41.82346369,-87.66574345
39,14,12,1.584962501,0,41.80785605,-87.73343455
40,14,12,0,0,41.80788576,-87.73114095
41,14,12,1.584962501,0,41.80791763,-87.72854105
42,14,12,3,0,41.8077424,-87.72505038
43,45,12,3.906890596,0,41.97280115,-87.75754144
44,6,12,2,0,41.74558478,-87.61249479
45,9,12,4.584962501,0,41.72367335,-87.62336216
46,9,12,3.584962501,0,41.73103384,-87.62044628
47,9,12,3.169925001,0,41.71655768,-87.60459579
48,8,12,1.584962501,0,41.71467847,-87.60472602
49,9,12,2,0,41.71471533,-87.60501487
50,9,12,3.906890596,0,41.71283335,-87.60544258
51,9,12,2.584962501,0,41.6981481,-87.60877316
52,9,12,2.321928095,0,41.69997065,-87.60807613
53,9,12,3.169925001,0,41.71088295,-87.60588925
54,8,12,2.584962501,0,41.71084583,-87.60560049
55,8,12,2.321928095,0,41.72215394,-87.60444774
56,6,12,0,0,41.74100405,-87.60994118
57,6,12,2,0,41.7540394,-87.60908507
58,6,12,2.321928095,0,41.75227207,-87.60904548
59,6,12,1,0,41.74193693,-87.61081816
60,45,12,0,0,41.96928547,-87.75980631
61,39,12,0,1,41.97525734,-87.74784143
62,44,12,0,1,41.93398749,-87.64567386
63,44,12,2.584962501,1,41.93486146,-87.65864593
64,39,12,4.459431619,1,41.98233519,-87.75072241
65,4,12,1.584962501,1,41.83858289,-87.61339302
66,14,12,2.807354922,1,41.80782255,-87.73588487
67,9,12,3.584962501,1,41.68246613,-87.61803479
68,35,12,2.807354922,1,41.92293424,-87.72535476
69,35,12,3,1,41.92294767,-87.72413443
70,45,12,0,1,41.97114332,-87.76744204
71,6,12,2,1,41.76790022,-87.61517033
72,43,12,3,1.584962501,41.92190996,-87.64848809
73,44,12,3.321928095,1.584962501,41.94864548,-87.66299447
74,45,12,1,2.321928095,41.97557157,-87.76939225
75,6,12,3.321928095,2.321928095,41.76718207,-87.62762466
76,32,12,2.584962501,2.321928095,41.93193074,-87.7050409
77,21,12,1.584962501,0,41.74876297,-87.64169279
78,21,12,3.169925001,0,41.74874572,-87.64291128
79,21,12,0,0,41.74696727,-87.6428634
80,17,12,3.321928095,0,41.75416922,-87.64549214
81,17,12,3,0,41.75075116,-87.64410779
82,3,12,0,0,41.80658037,-87.61397796
83,34,12,0,0,41.70311471,-87.6495894
84,9,12,2.321928095,0,41.66503038,-87.63660039
85,9,12,0,0,41.66507347,-87.63562551
86,9,12,2.321928095,0,41.66413751,-87.63565523
87,34,12,4.247927513,0,41.68599594,-87.64933175
88,34,12,0,0,41.68949884,-87.65282193
89,34,12,4.392317423,0,41.68892247,-87.65093304
90,34,12,0,0,41.69222427,-87.65712292
91,34,12,3.906890596,0,41.69489133,-87.65477039
92,17,12,4.857980995,0,41.7505303,-87.64539867
93,17,12,2.584962501,0,41.75053498,-87.65865206
94,20,12,1.584962501,0,41.80852779,-87.66247034
95,3,12,3.459431619,0,41.80930678,-87.62820949
96,3,12,0,0,41.83411808,-87.62197274
97,39,12,2,0,41.97366993,-87.74068736
98,38,12,0,0,41.95955995,-87.7590062
99,47,12,0,0,41.96900726,-87.66759963
100,6,12,3.807354922,0,41.75800665,-87.64193599
101,6,12,3.584962501,0,41.75967458,-87.64442024
102,47,12,3.169925001,1.584962501,41.96798337,-87.67483683
103,1,12,2.321928095,1.584962501,41.92682542,-87.68777078
104,39,12,0,1.584962501,41.98912651,-87.74306451
105,35,12,3.169925001,1.584962501,41.92165935,-87.71514011
106,35,12,1,1.584962501,41.92890009,-87.71451589
107,17,12,2.584962501,1.584962501,41.76871353,-87.66034109
108,1,12,3.459431619,1.584962501,41.90631761,-87.6701583
109,1,12,3.584962501,1.584962501,41.89436039,-87.66150894
110,1,12,1,2,41.91899724,-87.69446109
111,1,12,3.807354922,2,41.92317599,-87.69849612
112,4,12,0,2.321928095,41.82155535,-87.61167498
113,1,12,1,2.321928095,41.90130485,-87.66758377
114,13,12,5,2,41.77646241,-87.73476049
115,13,12,4,2,41.77351005,-87.73467689
116,17,12,4.95419631,2,41.77534545,-87.69119431
117,17,12,3.906890596,2,41.77067615,-87.6908878
118,1,12,3.459431619,2,41.91112766,-87.68860476
119,34,12,4.321928095,2,41.69762517,-87.65485357
120,1,12,2,2,41.91643741,-87.69731524
121,1,12,1,2,41.9172231,-87.6980769
122,34,12,5.357552005,2,41.70309975,-87.64935122
123,34,12,5.321928095,2,41.70309864,-87.64947282
124,1,12,2,2.584962501,41.89973295,-87.66998825
125,36,12,0,0,41.9310908,-87.78583882
126,19,12,3.807354922,0,41.69703779,-87.70843964
127,19,12,3.321928095,0,41.69866668,-87.70977642
128,19,12,2.584962501,0,41.70236454,-87.70991722
129,8,12,3.169925001,0,41.75344411,-87.58329386
130,32,12,2,0,41.93801742,-87.66845439
131,32,12,0,0,41.94351353,-87.68467143
132,8,12,4.95419631,0,41.74963172,-87.59913783
133,19,12,3.700439718,0,41.70256822,-87.7061743
134,19,12,3,0,41.70246844,-87.70257569
135,19,12,2,0,41.69898005,-87.70114663
136,19,12,1.584962501,0,41.70600265,-87.70891305
137,19,12,2.807354922,0,41.70608296,-87.70146672
138,19,12,3.584962501,0,41.69877702,-87.70122561
139,19,12,4.95419631,0,41.69715259,-87.70114271
140,19,12,3.807354922,0,41.6971167,-87.70355251
141,19,12,4.754887502,0,41.69683448,-87.7085202
142,19,12,4.247927513,0,41.69703779,-87.70843964
143,20,12,2,0,41.77311568,-87.61344369
144,32,12,2.584962501,0,41.93118083,-87.70112817
145,8,12,2.321928095,0,41.74952062,-87.59072275
146,8,12,4.807354922,0,41.74769746,-87.59068058
147,10,12,3.169925001,0,41.68833314,-87.53883572
148,8,12,5.857980995,1.584962501,41.7512717,-87.59805975
149,22,12,4,1.584962501,41.84240698,-87.73295537
150,12,12,0,1.584962501,41.84441097,-87.70463641
151,25,12,2.807354922,1,41.85248507,-87.66388713
152,25,12,2,1,41.8548604,-87.67258591
153,8,12,5.426264755,1,41.74041837,-87.58807637
154,19,12,1.584962501,1.584962501,41.69941886,-87.70980244
155,20,12,3.321928095,2,41.78050631,-87.60686652
156,8,12,4.392317423,2,41.74580599,-87.59445308
157,10,12,0,2.321928095,41.70132362,-87.53030451
158,10,12,0,2.321928095,41.70560885,-87.53030599
159,10,12,0,2.321928095,41.71387628,-87.53512961
160,10,12,3,2.321928095,41.72509228,-87.5485173
161,10,12,2,2.321928095,41.73059594,-87.54836593
162,10,12,1.584962501,2.321928095,41.73338573,-87.54872693
163,10,12,0,2.321928095,41.73431006,-87.54845794
164,10,12,3.584962501,2.321928095,41.73933054,-87.54982212
165,22,12,1,2.321928095,41.83688195,-87.71818394
166,36,12,3,2.321928095,41.92197187,-87.78545204
167,10,12,2.807354922,2.321928095,41.7028647,-87.55476635
168,36,12,2.807354922,2.321928095,41.9217507,-87.78768759
169,5,12,4.807354922,0,41.77325585,-87.5889073
170,8,12,3.584962501,0,41.76056696,-87.5836772
171,8,12,1,0,41.76199317,-87.58247302
172,8,12,2.807354922,0,41.76070351,-87.58368067
173,8,12,1.584962501,0,41.76072481,-87.58347152
174,8,12,1,0,41.76232665,-87.58362971
175,7,12,1,0,41.76423868,-87.58069907
176,7,12,1.584962501,0,41.7643923,-87.58113955
177,7,12,1,0,41.76440599,-87.57987074
178,5,12,1,0,41.76630171,-87.58119755
179,5,12,1.584962501,0,41.76621534,-87.58013412
180,5,12,0,0,41.76461968,-87.57708576
181,5,12,2,0,41.76441263,-87.57927929
182,18,12,4.169925001,0,41.74828017,-87.69019773
183,18,12,0,0,41.74825693,-87.69028293
184,14,12,4.392317423,0,41.79919477,-87.6867745
185,43,12,2.807354922,0,41.92177049,-87.6583982
186,2,12,1.584962501,0,41.92174727,-87.66120627
187,2,12,0,0,41.92168114,-87.66801169
