dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,constraint_type,table_schema-2,table_name-2,column_name-2
postgresql,LIB,public,documents,doc_id,1,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,documents,isbn,2,UNIQUE,NULL,NULL,NULL
postgresql,LIB,public,documents,issn,3,UNIQUE,NULL,NULL,NULL
postgresql,LIB,public,librarian,admin_id,1,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,members,user_id,1,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,members,doc_id,6,FOREIGN KEY,public,documents,doc_id
postgresql,LIB,public,members,admin_id,7,FOREIGN KEY,public,librarian,admin_id
postgresql,LIB,public,publishers,pub_id,1,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,contributers,contributer_id,1,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,editors,editor_id,1,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,author,author_id,1,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,journal_article,doc_id,1,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,journal_article,author_id,3,FOREIGN KEY,public,author,author_id
postgresql,LIB,public,journal,issn,3,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,journal,journal_name,1,UNIQUE,NULL,NULL,NULL
postgresql,LIB,public,journal,pub_id,4,FOREIGN KEY,public,publishers,pub_id
postgresql,LIB,public,magazines,doc_id,1,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,magazines,issue_num,3,UNIQUE,NULL,NULL,NULL
postgresql,LIB,public,magazines,issn,5,UNIQUE,NULL,NULL,NULL
postgresql,LIB,public,issue,issn,2,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,issue,issue_num,1,UNIQUE,NULL,NULL,NULL
postgresql,LIB,public,issue,pub_id,3,FOREIGN KEY,public,publishers,pub_id
postgresql,LIB,public,issue,contributor_id,4,FOREIGN KEY,public,contributers,contributer_id
postgresql,LIB,public,issue,editor_id,5,FOREIGN KEY,public,editors,editor_id
postgresql,LIB,public,book,doc_id,1,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,book,isbn,3,UNIQUE,NULL,NULL,NULL
postgresql,LIB,public,book,pub_id,5,FOREIGN KEY,public,publishers,pub_id
postgresql,LIB,public,book,author_id,6,FOREIGN KEY,public,author,author_id
postgresql,LIB,public,modify,doc_id,1,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,modify,user_id,2,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,modify,doc_id,1,FOREIGN KEY,public,documents,doc_id
postgresql,LIB,public,modify,user_id,2,FOREIGN KEY,public,members,user_id
postgresql,LIB,public,search,doc_id,3,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,search,admin_id,4,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,search,isbn,1,UNIQUE,NULL,NULL,NULL
postgresql,LIB,public,search,issn,2,UNIQUE,NULL,NULL,NULL
postgresql,LIB,public,search,doc_id,3,FOREIGN KEY,public,documents,doc_id
postgresql,LIB,public,search,doc_id,3,FOREIGN KEY,public,librarian,admin_id
postgresql,LIB,public,borrow,doc_id,3,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,borrow,user_id,4,PRIMARY KEY,NULL,NULL,NULL
postgresql,LIB,public,borrow,doc_id,3,FOREIGN KEY,public,documents,doc_id
postgresql,LIB,public,borrow,user_id,4,FOREIGN KEY,public,members,user_id
postgresql,LIB,public,documents,overdue,5,NULL,NULL,NULL,NULL
postgresql,LIB,public,book,book_title,2,NULL,NULL,NULL,NULL
postgresql,LIB,public,author,lastname,3,NULL,NULL,NULL,NULL
postgresql,LIB,public,members,firstname,2,NULL,NULL,NULL,NULL
postgresql,LIB,public,editors,firstname,2,NULL,NULL,NULL,NULL
postgresql,LIB,public,contributers,firstname,2,NULL,NULL,NULL,NULL
postgresql,LIB,public,publishers,lastname,3,NULL,NULL,NULL,NULL
postgresql,LIB,public,members,copy_num,5,NULL,NULL,NULL,NULL
postgresql,LIB,public,librarian,firstname,2,NULL,NULL,NULL,NULL
postgresql,LIB,public,book,edition_num,4,NULL,NULL,NULL,NULL
postgresql,LIB,public,members,due_date,4,NULL,NULL,NULL,NULL
postgresql,LIB,public,borrow,due_date,2,NULL,NULL,NULL,NULL
postgresql,LIB,public,members,lastname,3,NULL,NULL,NULL,NULL
postgresql,LIB,public,borrow,borrow_date,1,NULL,NULL,NULL,NULL
postgresql,LIB,public,editors,lastname,3,NULL,NULL,NULL,NULL
postgresql,LIB,public,author,firstname,2,NULL,NULL,NULL,NULL
postgresql,LIB,public,journal,issue_num,2,NULL,NULL,NULL,NULL
postgresql,LIB,public,documents,copy_num,4,NULL,NULL,NULL,NULL
postgresql,LIB,public,documents,return_date,6,NULL,NULL,NULL,NULL
postgresql,LIB,public,contributers,lastname,3,NULL,NULL,NULL,NULL
postgresql,LIB,public,publishers,firstname,2,NULL,NULL,NULL,NULL
postgresql,LIB,public,magazines,issue_date,4,NULL,NULL,NULL,NULL
postgresql,LIB,public,librarian,lastname,3,NULL,NULL,NULL,NULL
postgresql,LIB,public,journal_article,article_title,2,NULL,NULL,NULL,NULL
postgresql,LIB,public,magazines,title,2,NULL,NULL,NULL,NULL
postgresql,LIB,public,documents,due_date,7,NULL,NULL,NULL,NULL
